"spp","tag","probs","mean","q005","q095","ess_bulk","ess_tail","Rhat"
"Agelaioides_badius","AGELBADI",0.206247826448583,-1.3476928018075,-2.5261015,-0.168659750000002,1311.18121687717,1850.40732822847,1.00114716870425
"Alopochelidon_fucata","ALOPFUCA",0.128420468616934,-1.91499732738225,-4.333224,0.460328299999999,492.096774594939,884.536264755098,1.00761426163538
"Amblyramphus_holosericeus","AMBLHOLO",0.127669206795669,-1.9217261050925,-4.066344,0.246062699999999,694.683603237669,835.43248283464,1.0020106867005
"Ammodramus_humeralis","AMMOHUME",0.141491814284636,-1.802954349365,-4.135174,0.618261899999996,475.859878029758,898.026990039703,1.0041958030673
"Anthus_correndera","ANTHCORR",0.127846052081081,-1.920139132148,-3.7545585,0.162173649999998,582.553528019903,844.971550521532,1.003502723608
"Anthus_furcatus","ANTHFURC",0.125440384154659,-1.94188984443,-3.6632375,-0.196534,521.748112286979,970.171521767549,1.00507829882349
"Anthus_hellmayri","ANTHHELL",0.0726507105071676,-2.5466671203325,-4.133973,-0.615556,695.155036988552,1745.40036645793,1.00481481705955
"Anumbius_annumbi","ANUMANNU",0.493906919133103,-0.024373530025725,-0.34463165,0.2970953,2985.12456275418,3406.37684031446,1.00053433210181
"Athene_cunicularia","ATHECUNI",0.415904671554482,-0.3396081240625,-1.0008355,0.325246449999999,2977.36453624554,3367.77563806623,1.00073331714766
"Caracara_plancus","CARAPLAN",0.0588938252279053,-2.77131971475,-3.3403025,-1.9820045,1458.60878271027,2629.08687482775,1.00174306536086
"Colaptes_campestris","COLACAMP",0.207269379618129,-1.341464169,-1.6589385,-0.970789850000001,1948.14512922563,3165.59173435322,1.0025725617586
"Colaptes_melanochloros","COLAMELA",0.257383880621812,-1.05961057883,-1.700356,-0.37175005,2049.82202691779,3462.1749384741,1.00174852074097
"Cranioleuca_sulphurifera","CRANSULP",0.11321231875897,-2.05834060359,-4.2240655,-0.0488009950000004,740.650467446287,1155.83455164251,1.00134472638333
"Donacospiza_albifrons","DONAALBI",0.149664665195335,-1.737233557095,-2.606958,-0.8536758,1674.03227617979,2369.92904368542,1.00227232629323
"Drymornis_bridgesii","DRYMBRID",0.162834860371941,-1.63728478977,-4.2904115,0.825926499999999,609.054904054032,878.190797856234,1.0038831262659
"Emberizoides_ypiranganus","EMBEYPIR",0.0647017227295922,-2.6710776639625,-5.0053515,-0.394644200000002,551.206937660033,1061.91934063795,1.00325169629127
"Embernagra_platensis","EMBEPLAT",0.633488769516535,0.54721310855,0.25256315,0.85568385,3512.20226608496,3884.40582409586,0.999826810097036
"Falco_sparverius","FALCSPAR",0.17437572176869,-1.554927509325,-2.172014,-0.903232550000001,1422.33341806973,1304.79306717182,1.00174540042077
"Furnarius_rufus","FURNRUFU",0.635153557520567,0.554390233,0.3509549,0.76910325,2425.29415614295,3313.27760429961,1.00088196774243
"Gallinago_paraguaiae","GALLPARA",0.339284559245349,-0.66648408598075,-2.0809135,1.1121085,1867.34518842222,2571.07977624523,1.00221796188926
"Geothlypis_aequinoctialis","GEOTAEQU",0.172713585991084,-1.5665163137585,-3.5637325,0.764940949999999,645.059307306239,1416.51864668594,1.00359410108321
"Gnorimopsar_chopi","GNORCHOP",0.195311594436639,-1.41585892521625,-3.8334285,0.964701099999999,605.373254567189,930.77396314984,1.00392621882442
"Guira_guira","GUIRGUIR",0.215120409236469,-1.2943324041325,-2.250077,-0.21137835,1435.45275480889,1892.10354784469,1.00204317207934
"Hymenops_perspicillatus","HYMEPERS",0.661726887090824,0.67099931798325,-0.2054231,1.7239045,3189.65834723675,3328.44233031387,1.00007424653623
"Leptasthenura_platensis","LEPTPLAT",0.11291487597274,-2.0613067213125,-4.6263325,0.425918749999999,516.062503322658,850.526809271002,1.002552001825
"Limnoctites_rectirostris","LIMNRECT",0.0851064020337147,-2.37490550985,-3.635195,-1.134691,941.402650827006,1283.78156950752,1.00266826430622
"Machetornis_rixosa","MACHRIXO",0.127162668641152,-1.92628208325,-2.2658315,-1.5214805,1709.44676183701,2329.63856996968,1.00115503051209
"Milvago_chimango","MILVCHIM",0.187832456451484,-1.4641562769,-2.108238,-0.70257865,1845.75601416093,2665.12485352092,0.999869465685988
"Mimus_saturninus","MIMUSATU",0.588322036549493,0.357033077585,0.1554945,0.5790089,3562.50224662084,3666.39774254775,1.00007088215839
"Molothrus_bonariensis","MOLOBONA",0.544671647463837,0.179164318770875,-0.049054425,0.42756185,2777.1999592507,2769.7012752489,1.00055508080105
"Molothrus_rufoaxillaris","MOLORUFO",0.0469474531981303,-3.0106410812345,-4.690385,-1.1523375,442.127145940487,1170.88353280548,1.00492269898982
"Myiopsitta_monachus","MYIOMONA",0.324992773591749,-0.730920449625,-1.071521,-0.3774224,2411.81323091,1846.71638492056,1.00039503058463
"Nothura_maculosa","NOTHMACU",0.286315675635264,-0.91334577875,-1.1743235,-0.6290242,791.614581061174,1524.20652586489,1.0077166500784
"Paroaria_coronata","PAROCORO",0.24831947768985,-1.10759526271,-1.5940165,-0.590998050000001,2109.87004850115,2860.70873872632,1.0004540760075
"Phacellodomus_striaticollis","PHACSTRI",0.461211811038989,-0.1554651258565,-0.5977483,0.2947618,3106.39486493666,1735.86473222147,1.00155692081384
"Pitangus_sulphuratus","PITASULP",0.488547660950419,-0.04581736962105,-0.2930996,0.21236875,2469.55258677538,3091.46173662531,1.00178581472706
"Poospiza_nigrorufa","POOSNIGR",0.0602649039329907,-2.74684811289,-5.1021245,-0.42567225,532.100470243329,1025.08747380502,1.00273556331086
"Progne_chalybea","PROGCHAL",0.0826857866950098,-2.406402345695,-3.895322,-0.800808450000001,775.498323153673,1383.50636204734,1.0030648782249
"Progne_tapera","PROGTAPE",0.569435456227028,0.279548202266,0.08523563,0.4880249,3311.61368379996,3775.13836952419,1.00029186973736
"Pseudoleistes_guirahuro","PSEUGUIR",0.187764498096013,-1.46460181720597,-3.0376145,0.223530999999999,1327.77747132086,1719.4304210123,1.00347162134087
"Pseudoleistes_virescens","PSEUVIRE",0.494707067449905,-0.0211725210920625,-0.32434655,0.30967265,3591.90134051686,3872.2989319223,1.0005578731159
"Pygochelidon_cyanoleuca","PYGOCYAN",0.164217055802447,-1.6271798795,-2.095045,-1.06571,1382.59547476703,1521.16925221441,1.00154069175815
"Pyrocephalus_rubinus","PYRORUBI",0.504708176715284,0.018833263508425,-0.2080261,0.29697745,1615.85163596215,2629.90516505518,1.00270802681116
"Rhynchotus_rufescens","RHYNRUFE",0.48986294939696,-0.040553759416,-0.58067795,0.5101652,3541.52960540055,3687.08908574856,1.00058832369161
"Riparia_riparia","RIPARIPA",0.10429763429931,-2.1503594965975,-4.5796555,0.181954049999999,596.456634300536,1105.1839960421,1.00153361939373
"Rostratula_semicollaris","ROSTSEMI",0.0746955247425511,-2.516702665185,-4.774753,-0.2076258,849.758212101674,1120.31839213693,1.00097932945144
"Satrapa_icterophrys","SATRICTE",0.202871893393286,-1.368440689085,-2.500851,-0.0555514500000004,676.689000289447,1426.60639397453,1.00405595557019
"Sicalis_flaveola","SICAFLAV",0.322709289121629,-0.7413487069275,-1.1092445,-0.29756695,1505.42777442757,3166.09558817156,1.00379519574388
"Sicalis_luteola","SICALUTE",0.513885502347838,0.0555562945328,-0.13691835,0.26559195,2865.33101967232,1742.46522314989,1.00074946312274
"Spartonoica_maluroides","SPARMALU",0.0866260763756038,-2.35554446852575,-4.796597,-0.0577964750000002,497.430207302682,1146.62546145317,1.00427058533516
"Sporophila_caerulescens","SPORCAER",0.132223837912934,-1.88143757542,-2.998541,-0.363142000000001,804.23887213973,1883.81383637838,1.00198369206659
"Stelgidopteryx_ruficollis","STELRUFI",0.0588789207109929,-2.77158865824175,-4.9096625,-0.6040572,546.142286840257,1298.10591506813,1.00286416239141
"Sturnella_superciliaris","STURSUPE",0.313613873919318,-0.78327780707125,-1.8636205,0.6517295,2378.86760432934,3106.27639737136,1.00157944047649
"Syrigma_sibilatrix","SYRISIBI",0.137145844134854,-1.8392007648025,-3.8693215,0.187346549999999,1028.51829535247,1439.07444419474,1.00467102922143
"Tachuris_rubrigastra","TACHRUBR",0.0799755174154049,-2.442679725665,-4.72503,-0.0594595950000031,590.757615601275,1082.84282533635,1.00441519648818
"Tachycineta_leucorrhoa","TACHLEUC",0.513515989048311,0.0540771306492,-0.18999445,0.321362,2477.23723545492,3499.18836115938,1.00093913622853
"Theristicus_caerulescens","THERCAER",0.0758183699941746,-2.5005680101,-3.559744,-1.1652775,1282.02856723515,2108.86782145817,1.00113806395246
"Troglodytes_aedon","TROGAEDO",0.212157237241611,-1.311970845439,-2.739109,0.846566899999999,657.761560271567,2070.15427187619,1.00424861651489
"Turdus_amaurochalinus","TURDAMAU",0.416570871590098,-0.336866377886525,-1.0184555,0.55460675,2823.83235464375,3233.53514203112,1.00036511328841
"Turdus_rufiventris","TURDRUFI",0.266014582103556,-1.01493803457375,-2.0852225,0.13425825,1945.78333433156,2159.19409017089,1.00243773346903
"Tyrannus_melancholicus","TYRAMELA",0.413295212723229,-0.3503596371705,-0.7079979,0.0198989899999999,1219.31117193384,1833.14687731768,1.00246311017568
"Tyrannus_savana","TYRASAVA",0.739190256943762,1.041764152,0.833493,1.2670045,3584.26895102459,4019.92694581772,1.00025125058313
"Vanellus_chilensis","VANECHIL",0.743473967376353,1.0641036005,0.6860356,1.46135,2912.49464060399,3254.69522873614,1.00168697516155
"Xanthopsar_flavus","XANTFLAV",0.440305216767317,-0.2399234443022,-1.1364935,0.7801111,2916.71239216645,3700.18427952842,1.00012689656217
"Xolmis_cinereus","XOLMCINE",0.414020089127557,-0.347371010091,-0.69079005,0.0306486749999996,3143.3406262484,3597.94094950077,1.001362906551
"Xolmis_dominicanus","XOLMDOMI",0.543202655172052,0.17324261847515,-0.66279865,1.129177,3374.70262212743,2721.84358540597,1.00043766701437
"Xolmis_irupero","XOLMIRUP",0.442772138969772,-0.229918963772075,-0.453581,0.013490735,3022.20780139595,3235.92740783709,1.00072098990539
"Zenaida_auriculata","ZENAAURI",0.131827127784967,-1.8848994301,-3.022033,-0.653052900000001,885.506367007351,879.137081179303,1.00298522090948
"Zonotrichia_capensis","ZONOCAPE",0.630575513243203,0.534686561985,0.1597675,0.9883607,2195.61976784406,3733.08281377719,1.00022185977535
